Word,Furigana,Romaji,JLPT,Hinshi,Golongan Kata Kerja,Bentuk Masu,Bentuk Negatif,Bentuk Lampau,Bentuk Te,Bentuk Potensial,Bentuk Keinginan,Bentuk Perintah,Bentuk Ajakan,Bentuk Kondisional,Bentuk Pasif,Bentuk Kausatif,Indonesia Meaning
暴れる,あばれる,abareru,JLPT N2,Verb,Ichidan (Group 2),暴れます,暴れない,暴れた,暴れて,暴れられる,暴れたい,暴れろ,暴れよう,暴れれば,暴れられる,暴れさせる,bertindak dengan kekerasan; mengamuk
炙る,あぶる,aburu,JLPT N2,Verb,Godan (Group 1),炙ります,炙らない,炙った,炙って,炙れる,炙りたい,炙れ,炙ろう,炙れば,炙られる,炙らせる,"menghangatkan (misalnya, tangan di atas api); mengeringkan"
溢れる,あふれる,afureru,JLPT N2,Verb,Ichidan (Group 2),溢れます,溢れない,溢れた,溢れて,溢れられる,溢れたい,溢れろ,溢れよう,溢れれば,溢れられる,溢れさせる,meluap; meluber
味わう,あじわう,ajiwau,JLPT N2,Verb,Godan (Group 1),味わいます,味わわない,味わった,味わって,味わえる,味わいたい,味わえ,味わおう,味わえば,味わわれる,味わわせる,untuk mencicipi; untuk menikmati
呆れる,あきれる,akireru,JLPT N2,Verb,Ichidan (Group 2),呆れます,呆れない,呆れた,呆れて,呆れられる,呆れたい,呆れろ,呆れよう,呆れれば,呆れられる,呆れさせる,merasa takjub; merasa terkejut
憧れる,あこがれる,akogareru,JLPT N2,Verb,Ichidan (Group 2),憧れます,憧れない,憧れた,憧れて,憧れられる,憧れたい,憧れろ,憧れよう,憧れれば,憧れられる,憧れさせる,mendambakan; menginginkan
余る,あまる,amaru,JLPT N2,Verb,Godan (Group 1),余ります,余らない,余った,余って,余れる,余りたい,余れ,余ろう,余れば,余られる,余らせる,tersisa; menjadi sisa
甘やかす,あまやかす,amayakasu,JLPT N2,Verb,Godan (Group 1),甘やかします,甘やかさない,甘やかした,甘やかして,甘やかせる,甘やかしたい,甘やかせ,甘やかそう,甘やかせば,甘やかされる,甘やかさせる,memanjakan; memberi perlakuan buruk
編む,あむ,amu,JLPT N2,Verb,Godan (Group 1),編みます,編まない,編んだ,編んで,編める,編みたい,編め,編もう,編めば,編まれる,編ませる,merajut; mengepang
扇ぐ,あおぐ,aogu,JLPT N2,Verb,Godan (Group 1),扇ぎます,扇がない,扇いだ,扇いで,扇げる,扇ぎたい,扇げ,扇ごう,扇げば,扇がれる,扇がせる,untuk penggemar
争う,あらそう,arasou,JLPT N2,Verb,Godan (Group 1),争います,争わない,争った,争って,争える,争いたい,争え,争おう,争えば,争われる,争わせる,untuk bersaing; untuk bertanding
改める,あらためる,aratameru,JLPT N2,Verb,Ichidan (Group 2),改めます,改めない,改めた,改めて,改められる,改めたい,改めろ,改めよう,改めれば,改められる,改めさせる,mengubah; memodifikasi
著す,あらわす,arawasu,JLPT N2,Verb,Godan (Group 1),著します,著さない,著した,著して,著せる,著したい,著せ,著そう,著せば,著される,著させる,menulis; menerbitkan
圧縮する,あっしゅくする,asshukusuru,JLPT N2,Verb,Suru (Group 3),圧縮します,圧縮しない,圧縮した,圧縮して,圧縮できる,圧縮したい,圧縮しろ,圧縮しよう,圧縮すれば,圧縮される,圧縮させる,kompresi; kondensasi
温める,あたためる,atatameru,JLPT N2,Verb,Ichidan (Group 2),温めます,温めない,温めた,温めて,温められる,温めたい,温めろ,温めよう,温めれば,温められる,温めさせる,menghangatkan; memanaskan
当てはまる,あてはまる,atehamaru,JLPT N2,Verb,Godan (Group 1),当てはまります,当てはまらない,当てはまった,当てはまって,当てはまれる,当てはまりたい,当てはまれ,当てはまろう,当てはまれば,当てはまられる,当てはまらせる,menerapkan (suatu aturan); dapat diterapkan
当てはめる,あてはめる,atehameru,JLPT N2,Verb,Ichidan (Group 2),当てはめます,当てはめない,当てはめた,当てはめて,当てはめられる,当てはめたい,当てはめろ,当てはめよう,当てはめれば,当てはめられる,当てはめさせる,menerapkan; menyesuaikan
慌てる,あわてる,awateru,JLPT N2,Verb,Ichidan (Group 2),慌てます,慌てない,慌てた,慌てて,慌てられる,慌てたい,慌てろ,慌てよう,慌てれば,慌てられる,慌てさせる,"menjadi bingung (bingung, tidak teratur, kacau); menjadi gelisah"
預かる,あずかる,azukaru,JLPT N2,Verb,Godan (Group 1),預かります,預からない,預かった,預かって,預かれる,預かりたい,預かれ,預かろう,預かれば,預かられる,預からせる,untuk menjaga; untuk merawat
売買する,ばいばいする,baibaisuru,JLPT N2,Verb,Suru (Group 3),売買します,売買しない,売買した,売買して,売買できる,売買したい,売買しろ,売買しよう,売買すれば,売買される,売買させる,perdagangan; jual beli
バランスする,バランスする,baransusuru,JLPT N2,Verb,Suru (Group 3),バランスします,バランスしない,バランスした,バランスして,バランスできる,バランスしたい,バランスしろ,バランスしよう,バランスすれば,バランスされる,バランスさせる,keseimbangan
瓶詰めする,びんづめする,binzumesuru,JLPT N2,Verb,Suru (Group 3),瓶詰めします,瓶詰めしない,瓶詰めした,瓶詰めして,瓶詰めできる,瓶詰めしたい,瓶詰めしろ,瓶詰めしよう,瓶詰めすれば,瓶詰めされる,瓶詰めさせる,pembotolan; dikemas dalam botol
防止する,ぼうしする,boushisuru,JLPT N2,Verb,Suru (Group 3),防止します,防止しない,防止した,防止して,防止できる,防止したい,防止しろ,防止しよう,防止すれば,防止される,防止させる,pencegahan; periksa
分解する,ぶんかいする,bunkaisuru,JLPT N2,Verb,Suru (Group 3),分解します,分解しない,分解した,分解して,分解できる,分解したい,分解しろ,分解しよう,分解すれば,分解される,分解させる,pembongkaran; penguraian
分布する,ぶんぷする,bunpusuru,JLPT N2,Verb,Suru (Group 3),分布します,分布しない,分布した,分布して,分布できる,分布したい,分布しろ,分布しよう,分布すれば,分布される,分布させる,distribusi; alokasi
分類する,ぶんるいする,bunruisuru,JLPT N2,Verb,Suru (Group 3),分類します,分類しない,分類した,分類して,分類できる,分類したい,分類しろ,分類しよう,分類すれば,分類される,分類させる,klasifikasi; kategorisasi
分量する,ぶんりょうする,bunryousuru,JLPT N2,Verb,Suru (Group 3),分量します,分量しない,分量した,分量して,分量できる,分量したい,分量しろ,分量しよう,分量すれば,分量される,分量させる,jumlah; kuantitas
